0.000000	-0.004200	0.033000	0.335300	
0.000499	-0.004450	0.032595	0.335229	
0.000999	-0.004699	0.032195	0.335149	
0.001499	-0.004949	0.031800	0.335061	
0.001999	-0.005199	0.031410	0.334965	
0.002499	-0.005448	0.031025	0.334860	
0.002999	-0.005698	0.030644	0.334748	
0.003499	-0.005947	0.030268	0.334627	
0.003999	-0.006196	0.029897	0.334498	
0.004499	-0.006445	0.029530	0.334362	
0.004999	-0.006695	0.029167	0.334217	
0.005499	-0.006944	0.028810	0.334065	
0.005999	-0.007193	0.028456	0.333906	
0.006499	-0.007442	0.028107	0.333739	
0.006999	-0.007690	0.027762	0.333564	
0.007499	-0.007939	0.027422	0.333382	
0.007999	-0.008188	0.027085	0.333194	
0.008499	-0.008436	0.026753	0.332998	
0.008999	-0.008685	0.026425	0.332795	
0.009499	-0.008933	0.026100	0.332585	
0.009999	-0.009182	0.025780	0.332368	
0.010499	-0.009430	0.025464	0.332145	
0.010999	-0.009678	0.025152	0.331915	
0.011499	-0.009927	0.024843	0.331679	
0.011999	-0.010175	0.024538	0.331436	
0.012499	-0.010423	0.024237	0.331187	
0.012999	-0.010671	0.023940	0.330932	
0.013499	-0.010919	0.023647	0.330670	
0.013999	-0.011167	0.023357	0.330403	
0.014499	-0.011415	0.023070	0.330130	
0.014999	-0.011663	0.022787	0.329850	
0.015499	-0.011910	0.022508	0.329566	
0.015999	-0.012158	0.022232	0.329275	
0.016499	-0.012406	0.021960	0.328979	
0.016999	-0.012654	0.021691	0.328677	
0.017499	-0.012901	0.021425	0.328370	
0.017999	-0.013149	0.021163	0.328058	
0.018499	-0.013397	0.020904	0.327741	
0.018999	-0.013645	0.020648	0.327418	
0.019499	-0.013892	0.020395	0.327091	
0.019999	-0.014140	0.020146	0.326758	
0.020499	-0.014388	0.019899	0.326421	
0.020999	-0.014636	0.019656	0.326079	
0.021499	-0.014883	0.019416	0.325732	
0.021999	-0.015131	0.019179	0.325381	
0.022499	-0.015379	0.018945	0.325025	
0.022999	-0.015627	0.018715	0.324665	
0.023499	-0.015875	0.018487	0.324300	
0.023999	-0.016123	0.018262	0.323932	
0.024499	-0.016370	0.018041	0.323559	
0.024999	-0.016618	0.017822	0.323182	
0.025499	-0.016866	0.017606	0.322801	
0.025999	-0.017114	0.017394	0.322416	
0.026499	-0.017362	0.017184	0.322027	
0.026999	-0.017610	0.016978	0.321634	
0.027499	-0.017858	0.016775	0.321238	
0.027999	-0.018106	0.016575	0.320838	
0.028499	-0.018354	0.016378	0.320435	
0.028999	-0.018602	0.016184	0.320028	
0.029499	-0.018850	0.015994	0.319617	
0.029999	-0.019097	0.015808	0.319204	
0.030499	-0.019345	0.015624	0.318787	
0.030999	-0.019593	0.015445	0.318367	
0.031499	-0.019840	0.015269	0.317944	
0.031999	-0.020087	0.015097	0.317518	
0.032499	-0.020335	0.014930	0.317088	
0.032999	-0.020582	0.014766	0.316656	
0.033499	-0.020828	0.014608	0.316222	
0.033999	-0.021075	0.014454	0.315784	
0.034499	-0.021321	0.014306	0.315344	
0.034999	-0.021567	0.014163	0.314901	
0.035499	-0.021812	0.014026	0.314455	
0.035999	-0.022058	0.013895	0.314007	
0.036499	-0.022302	0.013772	0.313557	
0.036999	-0.022546	0.013656	0.313104	
0.037499	-0.022790	0.013549	0.312650	
0.037999	-0.023033	0.013450	0.312192	
0.038499	-0.023275	0.013361	0.311733	
0.038999	-0.023517	0.013284	0.311272	
0.039499	-0.023757	0.013218	0.310808	
0.039999	-0.023997	0.013165	0.310343	
0.040499	-0.024236	0.013127	0.309876	
0.040999	-0.024474	0.013104	0.309406	
0.041499	-0.024711	0.013099	0.308935	
0.041999	-0.024946	0.013114	0.308463	
0.042499	-0.025180	0.013149	0.307989	
0.042999	-0.025413	0.013209	0.307513	
0.043499	-0.025645	0.013294	0.307035	
0.043999	-0.025875	0.013407	0.306557	
0.044499	-0.026103	0.013552	0.306076	
0.044999	-0.026329	0.013731	0.305595	
0.045499	-0.026554	0.013948	0.305112	
0.045999	-0.026777	0.014206	0.304628	
0.046499	-0.026997	0.014510	0.304142	
0.046999	-0.027216	0.014863	0.303656	
0.047499	-0.027432	0.015269	0.303168	
0.047999	-0.027645	0.015734	0.302680	
0.048499	-0.027857	0.016261	0.302190	
0.048999	-0.028065	0.016857	0.301700	
0.049499	-0.028271	0.017527	0.301209	
0.049999	-0.028474	0.018275	0.300717	
0.050499	-0.028675	0.019107	0.300224	
0.050999	-0.028872	0.020029	0.299731	
0.051499	-0.029066	0.021046	0.299237	
0.051999	-0.029257	0.022164	0.298742	
0.052499	-0.029445	0.023388	0.298247	
0.052999	-0.029629	0.024724	0.297751	
0.053499	-0.029810	0.026176	0.297255	
0.053999	-0.029987	0.027750	0.296758	
0.054499	-0.030161	0.029449	0.296261	
0.054999	-0.030331	0.031277	0.295764	
0.055499	-0.030497	0.033239	0.295267	
0.055999	-0.030660	0.035337	0.294769	
0.056499	-0.030819	0.037573	0.294271	
0.056999	-0.030974	0.039949	0.293773	
0.057499	-0.031125	0.042466	0.293275	
0.057999	-0.031273	0.045125	0.292777	
0.058499	-0.031416	0.047926	0.292279	
0.058999	-0.031556	0.050868	0.291781	
0.059499	-0.031692	0.053949	0.291283	
0.059999	-0.031824	0.057168	0.290785	
0.060499	-0.031952	0.060522	0.290287	
0.060999	-0.032076	0.064007	0.289790	
0.061499	-0.032196	0.067621	0.289292	
0.061999	-0.032313	0.071358	0.288795	
0.062499	-0.032425	0.075215	0.288298	
0.062999	-0.032534	0.079187	0.287801	
